'What is the highest grossing movie?', 'Titanic', 'Avatar', 'The Avengers', 'Frozen', '2'
'How many actors auditioned to play Edward Cullen in the Twilight films?', '2,000', '3,000', '4,000', '5,000', '4'
'How much was Jennifer Lawrence paid to do the Hunger Games?', '$500,000', '$600,000', '$700,000', '$800,000', '1'
'How many tributes are in the Hunger Games?', '2', '12', '24', '48', '3'
'In Pirates of the Caribbean what does Barbossa want to eat?', 'Chocolate', 'Roasted Pig', 'Apples', 'French Bread', '3' 
'In Pirates of the Caribbean what is the catch phrase of Jack Sparrow?', 'Savvy?', 'Parley!', 'Where is the rum?', 'None of the above', '1'
'What song is NOT in Frozen?', 'Let It Go', 'In Summer', 'Fixer Upper', 'None of the above', '4'
'What is the name of the snowman in Frozen?', 'Sven', 'Hans', 'Olaf', 'Kristof', '3'
'When is Avatar 2 expected to be released?', '2014', '2015', '2016', '2017', '3'
'Avatar is what percent live action?', '40%', '50%', '60%', '70%', '1'
'Avatar is Sanskrit for ___________.', 'Predator', 'Visualization', 'Destroyer', 'Incarnation', '4' 
'What year was Titanic released?', '1993', '1997', '2000', '2013', '2'
'How many academy awards did Titanic win?', '3', '5', '7', '11', '4'
'What production company produced Now You See Me?', 'Summit', 'Paramount', 'Disney', 'Fox', '1'
'How many horsemen are in Now You See Me?', '2', '3', '4', '5', '3'
'What production company produced Finding Nemo?', 'Disney', 'Pixar', 'Universal', 'Sony Pictures', '2'
'What is the name of the great white shark in Finding Nemo?', 'Jaws', 'Nigel', 'Bruce', 'None of the above', '3'
'What is Jaws rated?', 'G', 'PG', 'PG-13', 'R', '2'
'How much money was spent on promoting Jaws?', '$500,000''$600,000', '$700,000', '4'
'When was Jaws released?', '1975', '1980', '1985', '1990', '1'
